name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
Dunkin',Donut Shop,"الرياض, المملكة العربية السعودية",24.52500124594793,46.433943806043864,Cheap,29.0,90,1,8.9,32.0
Moroccan Taste (المذاق المغربي),Café,"Makkah Al Mukarramah Rd, الرياض, المملكة العربية السعودية",24.524937293050836,46.43353856458267,Cheap,22.0,13,2,8.6,24.0
كرك جدي,Café,"الرياض, المملكة العربية السعودية",24.525067850036105,46.43420344582057,Cheap,24.0,27,1,7.3,33.0
دانكن دونت طريق المزاحميه,"Donut Shop, Coffee Shop","الرياض, المملكة العربية السعودية",24.524959,46.433640999999994,Cheap,0.0,6,0,8.3,0.0
Starbucks,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",24.522543,46.648867,Cheap,1.0,16,0,8.1,1.0
بهارات الأولين,Middle Eastern Restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,Moderate,8.0,10,6,7.8,9.0
Burger King,Fast Food Restaurant,"prince mamdooh bin abdulaziz, Riyadh 12241, المملكة العربية السعودية",24.5271348225978,46.669921875,Cheap,1.0,0,0,6.7,1.0
KFC (كنتاكي),"Fast Food Restaurant, Fried Chicken Joint","Alhazem (Dirab Road), الرياض, المملكة العربية السعودية",24.535847892014125,46.65677051846056,Cheap,2.0,12,1,6.3,7.0
Starbucks,Coffee Shop,"الرياض, المملكة العربية السعودية",24.53558928999773,46.68863699968899,Cheap,4.0,12,0,8.0,4.0
Dunkin Donuts (دانكن دونتس),Donut Shop,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.53535176259244,46.69324324903404,Cheap,17.0,57,1,8.2,20.0
The Sandwich Co. (ذا ساندوتش كومبني),Burger Joint,"الرياض -حي الشفاء, الرياض 14725, المملكة العربية السعودية",24.53535514630745,46.69304635352495,Cheap,12.0,18,2,7.8,15.0
Tsc,Restaurant,"alshifa, الرياض 14725, المملكة العربية السعودية",24.535385,46.693226,Moderate,3.0,3,2,7.6,3.0
Domino's Pizza,Pizza Place,"Alshifaa Plaza (Imam Muslim), الرياض 14725, المملكة العربية السعودية",24.535662,46.69306,Cheap,0.0,1,0,7.3,0.0
SADIG Coffee Shop (صادق كافيه),Coffee Shop,"شارع الخليفة المأمون, الرياض, المملكة العربية السعودية",24.53456460487329,46.698102551804155,Cheap,10.0,14,1,7.5,13.0
Seven Elven 7/11 Coffee & Sweet,"Food Truck, Coffee Shop","الرياض 13514, المملكة العربية السعودية",24.535162833364144,46.61486555288729,Cheap,8.0,8,0,7.8,8.0
Burger Tower (برجر تاور),Burger Joint,المملكة العربية السعودية,24.53907669458394,46.64020738649477,Cheap,23.0,9,3,7.0,35.0
برجر جي,Burger Joint,المملكة العربية السعودية,24.538326807415427,46.65271571733928,Cheap,12.0,1,4,7.6,13.0
