name,categories,address,price,rating,cuisine1,cuisine2,cuisine3,temp,no_Of_cusines
dunkin',Donut Shop,"الرياض, المملكة العربية السعودية",Cheap,8.9,Donut Shop,,,2,1
starbucks,Coffee Shop,"الرياض 14723, المملكة العربية السعودية",Cheap,8.1,Coffee Shop,,,2,1
burger king,Fast Food Restaurant,"prince mamdooh bin abdulaziz, Riyadh 12241, المملكة العربية السعودية",Cheap,6.7,Fast Food Restaurant,,,2,1
tsc,Restaurant,"alshifa, الرياض 14725, المملكة العربية السعودية",Moderate,7.6,Restaurant,,,2,1
domino's pizza,Pizza Place,"Alshifaa Plaza (Imam Muslim), الرياض 14725, المملكة العربية السعودية",Cheap,7.3,Pizza Place,,,2,1
seven elven 7/11 coffee & sweet,"Food Truck, Coffee Shop","الرياض 13514, المملكة العربية السعودية",Cheap,7.8,Food Truck, Coffee Shop,,1,2
kfc,"Fast Food Restaurant, Fried Chicken Joint",المملكة العربية السعودية,Cheap,6.6,Fast Food Restaurant, Fried Chicken Joint,,1,2
herfy 326 jazzed,Burger Joint,"طريق ديراب, الرياض, المملكة العربية السعودية",Cheap,5.9,Burger Joint,,,2,1
pizza hut,Pizza Place,"حي الحزم (طريق ديراب), الرياض, المملكة العربية السعودية",Cheap,6.6,Pizza Place,,,2,1
dankin donut's,Café,"شارع المشتل, المملكة العربية السعودية",Cheap,8.6,Café,,,2,1
mustache burger,Burger Joint,"الرياض 14964, المملكة العربية السعودية",Cheap,7.7,Burger Joint,,,2,1
baskin-robbins,Ice Cream Shop,"شارع المشتل, الرياض, المملكة العربية السعودية",Cheap,7.5,Ice Cream Shop,,,2,1
dunya restaurant,Turkish Restaurant,المملكة العربية السعودية,Moderate,5.0,Turkish Restaurant,,,2,1
gm coffee,Café,"طريق ديراب, المملكة العربية السعودية",Cheap,7.8,Café,,,2,1
grilled burger 77,Burger Joint,المملكة العربية السعودية,Cheap,7.3,Burger Joint,,,2,1
real burger |burger&fries,Fast Food Restaurant,"الرياض 14721, المملكة العربية السعودية",Cheap,8.0,Fast Food Restaurant,,,2,1
pizza pastry istanbul,"Pizza Place, Fast Food Restaurant",المملكة العربية السعودية,Cheap,5.9,Pizza Place, Fast Food Restaurant,,1,2
hardee’s,"Fast Food Restaurant, Burger Joint","Najm Alddin Al Ayyoubi St., الرياض, المملكة العربية السعودية",Cheap,6.9,Fast Food Restaurant, Burger Joint,,1,2
krispy kreme,"Donut Shop, Coffee Shop","الرياض 14925, المملكة العربية السعودية",Cheap,7.2,Donut Shop, Coffee Shop,,1,2
montreux,"Café, Pastry Shop","Ibn Taymeeyah Rd ابن تيمه, الرياض 14713, المملكة العربية السعودية",Cheap,9.2,Café, Pastry Shop,,1,2
a12 cafè,Food Truck,"Turki Bin Abdulaziz St, الرياض 12362, المملكة العربية السعودية",Cheap,9.3,Food Truck,,,2,1
mcdonald's,Fast Food Restaurant,"2nd Industrial Area, الرياض, المملكة العربية السعودية",Cheap,7.6,Fast Food Restaurant,,,2,1
kudu,"Fast Food Restaurant, Food","Second Industrial Area, الرياض, المملكة العربية السعودية",Cheap,7.7,Fast Food Restaurant, Food,,1,2
kfc 2nd industrial city,American Restaurant,المملكة العربية السعودية,Moderate,6.6,American Restaurant,,,2,1
hot plate chinese restaurant,Asian Restaurant,المملكة العربية السعودية,Moderate,7.3,Asian Restaurant,,,2,1
herfy 2and industrial city,"Burger Joint, Fast Food Restaurant",المملكة العربية السعودية,Cheap,5.2,Burger Joint, Fast Food Restaurant,,1,2
farouj al-carawan turkish restaurant,Turkish Restaurant,"Necmeddin Al Eyyub, Riyadh, المملكة العربية السعودية",Moderate,7.4,Turkish Restaurant,,,2,1
loaded burger,Burger Joint,"Altawheed Street, الرياض 14925, المملكة العربية السعودية",Cheap,8.0,Burger Joint,,,2,1
salam mall foodcourt,Fast Food Restaurant,المملكة العربية السعودية,Cheap,7.0,Fast Food Restaurant,,,2,1
v12,Coffee Shop,"المثنى بن حارثه, الرياض 14713, المملكة العربية السعودية",Cheap,7.7,Coffee Shop,,,2,1
umberlla cafè,Café,"الرياض 14713, المملكة العربية السعودية",Cheap,8.8,Café,,,2,1
h-19 othaim mkt. alshifa,Burger Joint,"Othaim Mkt (Ben Tanmiya), Riyadh, المملكة العربية السعودية",Cheap,5.6,Burger Joint,,,2,1
fuddruckers,American Restaurant,"العليا, الرياض, المملكة العربية السعودية",Moderate,7.6,American Restaurant,,,2,1
dunkin’ dounts (drive through),Donut Shop,"الرياض 14331, المملكة العربية السعودية",Cheap,8.1,Donut Shop,,,2,1
subway,Sandwich Place,المملكة العربية السعودية,Cheap,8.1,Sandwich Place,,,2,1
4twins truck,Food Truck,"Prince Turki Bin Abdulaziz Rd., الرياض 12364, المملكة العربية السعودية",Cheap,8.2,Food Truck,,,2,1
hamburgini,Burger Joint,"Western Ring Rd (Swaidi), الرياض 12993, المملكة العربية السعودية",Cheap,7.7,Burger Joint,,,2,1
let’s pizza,Pizza Place,"الرياض 12993, المملكة العربية السعودية",Cheap,8.3,Pizza Place,,,2,1
deers cafe,Café,"الرياض 12994, المملكة العربية السعودية",Cheap,9.2,Café,,,2,1
coffee code,Coffee Shop,"الشيخ عبدالرحمن الفريان (شارع الصداقة), الرياض 12993, المملكة العربية السعودية",Cheap,7.2,Coffee Shop,,,2,1
café idééal,Coffee Shop,"الرياض 12993, المملكة العربية السعودية",Cheap,7.8,Coffee Shop,,,2,1
dunkin donuts,Donut Shop,"Southern Ring Rd (Exit 26), الرياض, المملكة العربية السعودية",Cheap,8.2,Donut Shop,,,2,1
nero’s caffe,Coffee Shop,"الرياض 14713, المملكة العربية السعودية",Cheap,8.8,Coffee Shop,,,2,1
marin restaurant,Turkish Restaurant,"الرياض, المملكة العربية السعودية",Moderate,5.9,Turkish Restaurant,,,2,1
la casa pasta,Italian Restaurant,"طويق بلازا, الرياض 14928, المملكة العربية السعودية",Moderate,8.2,Italian Restaurant,,,2,1
maestro pizza,Pizza Place,"Sulaiman Bin Abdulmalik Bin Marwan St, الرياض, المملكة العربية السعودية",Cheap,7.8,Pizza Place,,,2,1
shawarmer,Middle Eastern Restaurant,"شاورمر, الرياض 14928, المملكة العربية السعودية",Moderate,7.0,Middle Eastern Restaurant,,,2,1
4twins coffee & sweet,Coffee Shop,"الرياض 12992, المملكة العربية السعودية",Cheap,9.0,Coffee Shop,,,2,1
60 speciality coffee,Coffee Shop,"الرياض 12993, المملكة العربية السعودية",Cheap,8.7,Coffee Shop,,,2,1
cuba cafe,Café,"الرياض 12994, المملكة العربية السعودية",Cheap,7.6,Café,,,2,1
dose cafe,Coffee Shop,"Ex 25 - Jarir, الرياض 12988, المملكة العربية السعودية",Cheap,8.5,Coffee Shop,,,2,1
abo zaid restaurant,Breakfast Spot,"الرياض 14963, المملكة العربية السعودية",Cheap,8.2,Breakfast Spot,,,2,1
iburger,Burger Joint,"Exit 25, الرياض, المملكة العربية السعودية",Cheap,5.0,Burger Joint,,,2,1
fatayir tek,Fast Food Restaurant,المملكة العربية السعودية,Cheap,7.5,Fast Food Restaurant,,,2,1
first exit,Coffee Shop,"الرياض 14713, المملكة العربية السعودية",Cheap,7.7,Coffee Shop,,,2,1
idea speciality coffee,Coffee Shop,"Al Fajr Street, الرياض 12992, المملكة العربية السعودية",Cheap,8.5,Coffee Shop,,,2,1
lions cafe,Café,"الرياض 12986, المملكة العربية السعودية",Cheap,8.5,Café,,,2,1
coeval,Coffee Shop,"8462 At Turmudhi, الرياض 14712, المملكة العربية السعودية",Cheap,8.9,Coffee Shop,,,2,1
candira,Bakery,"الرياض 11691, المملكة العربية السعودية",Cheap,7.8,Bakery,,,2,1
paul,French Restaurant,المملكة العربية السعودية,Expensive,8.1,French Restaurant,,,2,1
dunkin’ donuts,Donut Shop,"الرياض 14921, المملكة العربية السعودية",Cheap,8.1,Donut Shop,,,2,1
pure specialty coffee,Coffee Shop,"الرياض 12978, المملكة العربية السعودية",Cheap,8.0,Coffee Shop,,,2,1
herfy17 beside panda,Burger Joint,"Al Shifa (Dhirab St), Riyadh, المملكة العربية السعودية",Cheap,5.6,Burger Joint,,,2,1
burgerette,Burger Joint,"الرياض, المملكة العربية السعودية",Cheap,7.9,Burger Joint,,,2,1
konh,"Coffee Shop, Café","Ad Dar Al Baida, Riyadh (Arafat Rd), الرياض 14516, المملكة العربية السعودية",Cheap,8.3,Coffee Shop, Café,,1,2
ruwed,Fast Food Restaurant,المملكة العربية السعودية,Cheap,7.5,Fast Food Restaurant,,,2,1
100 burger & falafel,Falafel Restaurant,"الرياض, المملكة العربية السعودية",Cheap,7.5,Falafel Restaurant,,,2,1
1k - speciality coffee,"Coffee Shop, Café","الرياض 12982, المملكة العربية السعودية",Cheap,8.0,Coffee Shop, Café,,1,2
one size,Coffee Shop,"الرياض 12982, المملكة العربية السعودية",Cheap,8.7,Coffee Shop,,,2,1
angle cafe,Café,"الرياض, المملكة العربية السعودية",Cheap,6.8,Café,,,2,1
farouj aldiwan,Restaurant,المملكة العربية السعودية,Moderate,7.1,Restaurant,,,2,1
the sandwich co.,American Restaurant,"As Suwaidi Al Am., الرياض 12795, المملكة العربية السعودية",Moderate,8.2,American Restaurant,,,2,1
herfy 74,Burger Joint,"Al Naser Road (Al Shabab St), الرياض 14514, المملكة العربية السعودية",Cheap,5.3,Burger Joint,,,2,1
tsc the sandwich co.,Deli / Bodega,"الرياض, المملكة العربية السعودية",Cheap,7.6,Deli / Bodega,,,2,1
al maide al masie restaurant,Turkish Restaurant,"Al aziziyah, الرياض, المملكة العربية السعودية",Moderate,8.1,Turkish Restaurant,,,2,1
burgerizzer,Burger Joint,"Al Aziziah Rd, الرياض, المملكة العربية السعودية",Cheap,6.9,Burger Joint,,,2,1
narees coffe shop,Coffee Shop,"الرياض, المملكة العربية السعودية",Cheap,8.7,Coffee Shop,,,2,1
cu speciality coffee,Coffee Shop,"الرياض 12974, المملكة العربية السعودية",Cheap,7.6,Coffee Shop,,,2,1
signature,Juice Bar,"الرياض 12976, المملكة العربية السعودية",Cheap,9.2,Juice Bar,,,2,1
wokkong,Noodle House,"الرياض 12974, المملكة العربية السعودية",Cheap,7.5,Noodle House,,,2,1
wow burger - with or with out,Burger Joint,"الرياض 12974, المملكة العربية السعودية",Cheap,7.7,Burger Joint,,,2,1
